cell_id	global_mCH	global_mCG	#non_clonal_reads	coverage	global_mCCC	#contact	clusters	subclusters
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A10_AD001	0.046035783632286956	0.7543663518302318	1953378	27229952	0.014821463089924724	50461	L2/3	L2/3-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A10_AD004	0.058059458835063825	0.7599226931127047	824112	11534992	0.02249041184710337	19931	L2/3	L2/3-2
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A10_AD006	0.05287578587775724	0.7750576935769122	2477939	34467103	0.018411342055690484	61894	L2/3	L2/3-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A10_AD007	0.010352340443160687	0.7519830324649812	2466275	33744728	0.008120829175906353	66772	ODC	ODC-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A10_AD008	0.038544965492506786	0.754033611735623	2127511	29564416	0.012743822044353249	57054	L2/3	L2/3-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A10_AD010	0.06858509814366452	0.8195935542161009	2244357	31501096	0.01800267754943557	49700	Sst	Sst-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A10_AD012	0.07046060642037984	0.7995843702573292	2247669	31745076	0.01858944389156554	45004	L5	L5-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A11_AD002	0.01949935987664363	0.7905142739847155	1716930	24176050	0.009225872230373262	39884	Astro	Astro-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A11_AD004	0.0466422553236873	0.7871156927515219	2601475	36007539	0.014228773111624375	69411	L2/3	L2/3-3
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A11_AD006	0.07433709342562728	0.7839449346682504	1896684	27152242	0.02013657130796465	36303	L5	L5-2
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A11_AD010	0.01190292127217437	0.7789677601246194	1968476	26934770	0.008729550634920126	51451	OPC	OPC-1
181218_snm3Cseq_hs_21yr_BA10_UMB5577_1_UMB5577_2_A11_AD012	0.038511521861942094	0.7850080875338866	1836323	25394312	0.012209278210518003	49195	L6	L6-1
